元の城名,URL,城名,別名,築城年,城主,場所,Latitude,Longitude
赤城山城,https://gosenzo.net/yamajiro/2024/04/29/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e8%b5%a4%e5%9f%8e%e5%b1%b1%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e5%a5%a5%e5%b1%8b%e3%80%91/,赤城山城,赤城,永禄年間（1558～1569）,天野氏、阿曽沼氏の可能性もある。,広島県東広島市志和町奥屋,34.460953,132.615679
沼田城,https://gosenzo.net/yamajiro/2024/04/29/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%b2%bc%e7%94%b0%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e4%b8%83%e6%9d%a1%e6%a4%9b%e5%9d%82%e3%80%91/,沼田城,保田城、曲輪が2つに分かれており北西は沼田城、南東は城田城（城迫城）、併せて保田城とも呼ばれる。,不明,天野九郎左衛門か,広島県東広島市志和町七条椛坂,34.468309,132.637480
泥田城,https://gosenzo.net/yamajiro/2024/04/29/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%b3%a5%e7%94%b0%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e4%b8%83%e6%9d%a1%e6%a4%9b%e5%9d%82%e3%80%91/,泥田城,無し,戦国時代か？,不明、天野氏か,広島県東広島市志和町七条椛坂,34.466675,132.636809
松橋城,https://gosenzo.net/yamajiro/2024/04/29/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%9d%be%e6%a9%8b%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e5%bf%97%e5%92%8c%e8%a5%bf%e3%80%91/,松橋城,無し,戦国時代か,不明,広島県東広島市志和町志和西,34.476641,132.644475
秋森城,https://gosenzo.net/yamajiro/2024/04/29/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e7%a7%8b%e6%a3%ae%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e5%bf%97%e5%92%8c%e8%a5%bf%e3%80%91/,秋森城,無し,戦国時代か,不明,広島県東広島市志和町志和西,34.482191,132.645482
岡城,https://gosenzo.net/yamajiro/2024/04/29/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%b2%a1%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e5%bf%97%e5%92%8c%e8%a5%bf%e3%80%91/,岡城,岡ノ城,戦国時代か,岡主殿（おかとのも）,広島県東広島市志和町志和西,34.488095,132.653410
八条原城,https://gosenzo.net/yamajiro/2024/05/04/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%85%ab%e6%9d%a1%e5%8e%9f%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e5%bf%97%e5%92%8c%e8%a5%bf%e3%80%91/,八条原城（はちじょうばらじょう）,八条原練兵場,1868年,浅野長勲　　普請奉行,広島県東広島市志和町志和西,34.491559,132.639197
椛坂城,https://gosenzo.net/yamajiro/2024/05/05/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%a4%9b%e5%9d%82%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e4%b8%83%e6%9d%a1%e6%a4%9b%e5%9d%82%e3%80%91/,椛坂城（かぶさかじょう）,櫔田城？（芸藩通志に記載）,戦国時代か,阿野氏、安野美濃？財満木工進？,広島県東広島市志和町七条椛坂,34.467728,132.657831
財崎城,https://gosenzo.net/yamajiro/2024/05/05/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e8%b2%a1%e5%b4%8e%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e5%bf%97%e5%92%8c%e5%a0%80%e3%80%91/,財崎城,無し,戦国時代か,天野隆重,広島県東広島市志和町志和堀,34.502796,132.672031
新城山城,https://gosenzo.net/yamajiro/2024/05/05/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%96%b0%e5%9f%8e%e5%b1%b1%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e5%bf%97%e5%92%8c%e5%a0%80%e3%80%91/,新城山城,狐城？,戦国時代か,天野元明,広島県東広島市志和町志和堀,34.506624,132.677217
南迫城,https://gosenzo.net/yamajiro/2024/05/05/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%8d%97%e8%bf%ab%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e5%bf%97%e5%92%8c%e5%a0%80%e3%80%91/,南迫城（みなみざこじょう）,無し,戦国時代か,天野氏縁の人物か,広島県東広島市志和町志和堀,34.507534,132.687689
阿蔵谷城,https://gosenzo.net/yamajiro/2024/05/05/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%98%bf%e8%94%b5%e8%b0%b7%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e5%bf%97%e5%92%8c%e5%a0%80%e3%80%91/,阿蔵谷城,長尾城,戦国時代か,佐々木氏（天野家臣）,広島県東広島市志和町志和堀,34.511327,132.693585
古城,https://gosenzo.net/yamajiro/2024/05/05/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%8f%a4%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e5%bf%97%e5%92%8c%e6%9d%b1%e3%80%91/,古城,無し,戦国時代か,不明（天野氏に縁のある人物）,広島県東広島市志和町志和東,34.496515,132.666974
刈屋城,https://gosenzo.net/yamajiro/2024/05/05/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%88%88%e5%b1%8b%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e5%bf%97%e5%92%8c%e6%9d%b1%e3%80%91/,刈屋城,仮屋城,戦国時代か,天文年間,広島県東広島市志和町志和東,34.494859,132.669639
三津城,https://gosenzo.net/yamajiro/2024/05/19/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%b8%89%e6%b4%a5%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e5%a5%a5%e5%b1%8b%e3%80%91/,三津城,無し,古代？もしくは戦国時代か,乃美氏？,広島県東広島市志和町奥屋,34.450419,132.633184
先条城,https://gosenzo.net/yamajiro/2024/05/19/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%85%88%e6%9d%a1%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e4%b8%83%e6%9d%a1%e6%a4%9b%e5%9d%82%e3%80%91/,先条城,無し,戦国時代か,不明（天野氏縁の人物か）,広島県東広島市志和町七条椛坂,34.462963,132.665626
茶臼山城,https://gosenzo.net/yamajiro/2024/05/19/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e8%8c%b6%e8%87%bc%e5%b1%b1%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e4%b8%83%e6%9d%a1%e6%a4%9b%e5%9d%82%e3%80%91/,茶臼山城,太刀掛城,戦国時代か,不明,広島県東広島市志和町七条椛坂,34.461453,132.671894
田屋城,https://gosenzo.net/yamajiro/2024/05/19/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e7%94%b0%e5%b1%8b%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e5%bf%97%e5%92%8c%e6%9d%b1%e3%80%91/,田屋城,無し,不明,三宅氏,広島県東広島市志和町志和東,34.483679,132.685539
古屋城,https://gosenzo.net/yamajiro/2024/05/19/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%8f%a4%e5%b1%8b%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e5%bf%97%e5%92%8c%e6%9d%b1%e3%80%91/,古屋城,小屋城、倉田城,戦国時代か,蔵田日向守真信,広島県東広島市志和町志和東,34.479858,132.678258
玉留免城,https://gosenzo.net/yamajiro/2024/05/19/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e7%8e%89%e7%95%99%e5%85%8d%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e5%bf%97%e5%92%8c%e6%9d%b1%e3%80%91/,玉留免城（たまるめんじょう）,無し,戦国時代か,不明,広島県東広島市志和町志和東,34.483623,132.676856
六日市遺跡群,https://gosenzo.net/yamajiro/2024/05/19/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%85%ad%e6%97%a5%e5%b8%82%e9%81%ba%e8%b7%a1%e7%be%a4%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e5%bf%97%e5%92%8c%e6%9d%b1/,六日市遺跡群,無し,戦国時代か,不明（天野氏縁の人物）,広島県東広島市志和町志和東,34.486869,132.675524
円明寺城,https://gosenzo.net/yamajiro/2024/05/19/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%86%86%e6%98%8e%e5%af%ba%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e5%bf%97%e5%92%8c%e6%9d%b1%e3%80%91/,円明寺城,無し,戦国時代か,不明（天野氏縁の人物か）,広島県東広島市志和町志和東,34.489159,132.673604
清滝城,https://gosenzo.net/yamajiro/2024/05/26/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%b8%85%e6%bb%9d%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e5%bf%97%e5%92%8c%e6%9d%b1%e3%80%91/,清滝城,伊毛慈掛城（いもじがけじょう）,戦国時代か,財満氏,広島県東広島市志和東～八本町町宗吉,34.471383,132.697987
弁財天城,https://gosenzo.net/yamajiro/2024/05/26/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%bc%81%e8%b2%a1%e5%a4%a9%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e5%bf%97%e5%92%8c%e6%9d%b1%e3%80%91/,弁財天城,無し,戦国時代か,不明（天野氏もしくは財満氏などか）,広島県東広島市志和町志和東,34.483938,132.700441
寺山城,https://gosenzo.net/yamajiro/2024/05/26/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%af%ba%e5%b1%b1%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e5%86%85%e3%80%91/,寺山城,石井城、岸の城,中世,石井氏,広島県東広島市志和町内,34.498017,132.700697
大迫城,https://gosenzo.net/yamajiro/2024/05/26/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%a4%a7%e8%bf%ab%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e5%86%85%e3%80%91/,大迫城,熊谷城,中世,熊谷氏（天野氏家臣）,広島県東広島市志和町内,34.490903,132.692645
松巌城,https://gosenzo.net/yamajiro/2024/05/26/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%9d%be%e5%b7%8c%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e5%bf%97%e5%92%8c%e6%9d%b1%e3%80%91/,松巌城（まつがだけじょう）,松嶽城,中世,不明（天野氏縁の人物か）,広島県東広島市志和町志和東,34.490980,132.684329
女生城山城,https://gosenzo.net/yamajiro/2024/05/26/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%a5%b3%e7%94%9f%e5%9f%8e%e5%b1%b1%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e5%bf%97%e5%92%8c%e6%9d%b1%e3%80%91/,女生城山城（めおうぎやまじょう）,無し,中世,不明（天野氏縁の人物）,広島県東広島市志和町志和東,34.484085,132.661109
北古屋城,https://gosenzo.net/yamajiro/2024/05/26/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%8c%97%e5%8f%a4%e5%b1%8b%e5%9f%8e%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e5%88%a5%e5%ba%9c%e3%80%91/,北古屋城,無し,中世,天野別府,広島県東広島市志和町別府,34.473549,132.629762
新城,https://gosenzo.net/yamajiro/2024/05/26/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%96%b0%e5%9f%8e%ef%bc%88%e4%bb%ae%e5%90%8d%ef%bc%89%e3%80%90%e6%9d%b1%e5%ba%83%e5%b3%b6%e5%b8%82%e5%bf%97%e5%92%8c%e7%94%ba%e5%88%a5%e5%ba%9c/,新城’（仮名）,無し,中世,天野別府か,広島県東広島市志和町別府,34.480760,132.629397
長見山城,https://gosenzo.net/yamajiro/2022/02/23/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%95%b7%e8%a6%8b%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ae%89%e8%8a%b8%e9%ab%98%e7%94%b0%e5%b8%82%e7%94%b2%e7%94%b0%e7%94%ba%e4%b8%8b%e5%b0%8f%e5%8e%9f%e5%ad%97/,長見山城,無し,南北朝時代,渡辺氏,広島県安芸高田市甲田町下小原字内長見,34.660755,132.736025
五龍城,https://gosenzo.net/yamajiro/2022/02/23/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%ba%94%e9%be%8d%e5%9f%8e%e3%80%90%e5%ae%89%e8%8a%b8%e9%ab%98%e7%94%b0%e5%b8%82%e7%94%b2%e7%94%b0%e7%94%ba%e4%b8%8a%e7%94%b2%e7%ab%8b%e3%80%91/,五龍城,無し,南北朝時代。,宍戸氏,広島県安芸高田市甲田町上甲立,34.695050,132.750622
祝屋城,https://gosenzo.net/yamajiro/2022/02/26/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e7%a5%9d%e5%b1%8b%e5%9f%8e%e3%80%90%e5%ae%89%e8%8a%b8%e9%ab%98%e7%94%b0%e5%b8%82%e7%94%b2%e7%94%b0%e7%94%ba%e6%b7%b1%e7%80%ac%e3%80%91/,祝屋城,岩屋城、巌城、巌屋城,永正元年(1504)もしくは永正6年（1509）宍戸元家によって築かれたが、城自体はそれ以前にもあったと思われる。,深瀬氏,広島県安芸高田市甲田町深瀬,34.739750,132.781757
奥垣内城,https://gosenzo.net/yamajiro/2022/02/26/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%a5%a5%e5%9e%a3%e5%86%85%e5%9f%8e%e3%80%90%e5%ae%89%e8%8a%b8%e9%ab%98%e7%94%b0%e5%b8%82%e9%ab%98%e5%ae%ae%e7%94%ba%e8%88%b9%e6%9c%a8%e5%ad%97%e6%b0%b4/,奥垣内城,梅木城,不明,和智氏の出城とある、奥垣内氏の城かもしれない。,広島県安芸高田市高宮町船木字水谷,34.784734,132.766773
面山城,https://gosenzo.net/yamajiro/2022/02/26/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%9d%a2%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ae%89%e8%8a%b8%e9%ab%98%e7%94%b0%e5%b8%82%e9%ab%98%e5%ae%ae%e7%94%ba%e4%bd%90%e3%80%85%e9%83%a8%e5%ad%97%e5%bf%97/,面山城,無し,不明,佐々部氏,広島県安芸高田市高宮町佐々部字志部府,34.787589,132.720777
牛首城,https://gosenzo.net/yamajiro/2022/02/26/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e7%89%9b%e9%a6%96%e5%9f%8e%e3%80%90%e5%ae%89%e8%8a%b8%e9%ab%98%e7%94%b0%e5%b8%82%e9%ab%98%e5%ae%ae%e7%94%ba%e4%bd%90%e3%80%85%e9%83%a8%e5%ad%97%e4%ba%94/,牛首城,若狭城、龍之尾城、龍之口城,享録2年(1529)高橋氏が毛利氏によって滅ぼされた後に牛首城を築いて居城を移したと伝わる。,佐々部氏,広島県安芸高田市高宮町佐々部字五十貫部,34.773224,132.734285
仁後城,https://gosenzo.net/yamajiro/2022/03/05/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e4%bb%81%e5%be%8c%e5%9f%8e%e3%80%90%e5%ae%89%e8%8a%b8%e9%ab%98%e7%94%b0%e5%b8%82%e9%ab%98%e5%ae%ae%e7%94%ba%e8%88%b9%e6%9c%a8%e5%ad%97%e7%94%b0%e5%b1%8b/,仁後城（にごじょう）,尼子城,不明,尼子の城とも和智誠春の城ともいわれるが詳細不明。,広島県安芸高田市高宮町船木字田屋郷,34.784957,132.738346
阿賀城,https://gosenzo.net/yamajiro/2022/03/05/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%98%bf%e8%b3%80%e5%9f%8e%e3%80%90%e5%ae%89%e8%8a%b8%e9%ab%98%e7%94%b0%e5%b8%82%e5%85%ab%e5%8d%83%e4%bb%a3%e7%94%ba%e4%b8%8b%e6%a0%b9%e3%80%91/,阿賀城,赤城,不明,阿賀氏、井上光貞、井上左馬え助,広島県安芸高田市八千代町下根,34.597439,132.598466
塩屋城,https://gosenzo.net/yamajiro/2022/03/05/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%a1%a9%e5%b1%8b%e5%9f%8e%e3%80%90%e5%ae%89%e8%8a%b8%e9%ab%98%e7%94%b0%e5%b8%82%e7%94%b2%e7%94%b0%e7%94%ba%e4%b8%8a%e5%b0%8f%e5%8e%9f%e3%80%91/,塩屋城（えんやじょう）,無し,南北朝時代,粟屋氏,広島県安芸高田市甲田町上小原,34.645153,132.728705
天神山城,https://gosenzo.net/yamajiro/2022/03/05/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%a4%a9%e7%a5%9e%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ae%89%e8%8a%b8%e9%ab%98%e7%94%b0%e5%b8%82%e5%90%89%e7%94%b0%e7%94%ba%e7%ab%b9%e5%8e%9f%e3%80%91/,天神山城,無し,不明,井上氏,広島県安芸高田市吉田町竹原,34.643638,132.684968
琴崎城,https://gosenzo.net/yamajiro/2022/03/06/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e7%90%b4%e5%b4%8e%e5%9f%8e%e3%80%90%e5%ae%89%e8%8a%b8%e9%ab%98%e7%94%b0%e5%b8%82%e5%90%89%e7%94%b0%e7%94%ba%e5%b0%8f%e5%b1%b1%e3%80%91/,琴崎城,小手先城、内部城,南北朝時代,毛利氏,広島県安芸高田市吉田町小山,34.642897,132.679912
桂城,https://gosenzo.net/yamajiro/2022/03/06/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%a1%82%e5%9f%8e%e3%80%90%e5%ae%89%e8%8a%b8%e9%ab%98%e7%94%b0%e5%b8%82%e5%90%89%e7%94%b0%e7%94%ba%e6%a1%82%e3%80%91/,桂城,中山城、三笠山城、三笠城,16世紀初頭か,桂広澄、元澄,広島県安芸高田市吉田町桂,34.632291,132.653984
鈴尾城,https://gosenzo.net/yamajiro/2022/03/06/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%88%b4%e5%b0%be%e5%9f%8e%e3%80%90%e5%ae%89%e8%8a%b8%e9%ab%98%e7%94%b0%e5%b8%82%e5%90%89%e7%94%b0%e7%94%ba%e7%a6%8f%e5%8e%9f%e3%80%91/,鈴尾城,福原城,永徳元年(1381)福原広世によって築かれたと云われる。,福原氏,広島県安芸高田市吉田町福原,34.634652,132.665074
日下津城,https://gosenzo.net/yamajiro/2022/03/06/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%97%a5%e4%b8%8b%e6%b4%a5%e5%9f%8e%e3%80%90%e5%ae%89%e8%8a%b8%e9%ab%98%e7%94%b0%e5%b8%82%e5%90%91%e5%8e%9f%e7%94%ba%e5%9d%82%e3%80%91/,日下津城,坂城,観応元年（1350）以前に毛利親衡にとって築城されたと云われる。,坂氏,広島県安芸高田市向原町坂,34.603981,132.728598
田屋城,https://gosenzo.net/yamajiro/2022/03/12/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e7%94%b0%e5%b1%8b%e5%9f%8e%e3%80%90%e5%ae%89%e8%8a%b8%e9%ab%98%e7%94%b0%e5%b8%82%e5%90%91%e5%8e%9f%e7%94%ba%e9%95%b7%e7%94%b0%e3%80%91/,田屋城,無し,南北朝時代（14世紀頃）,内藤氏,広島県安芸高田市向原町長田,34.604866,132.706529
船山城,https://gosenzo.net/yamajiro/2022/03/12/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e8%88%b9%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ae%89%e8%8a%b8%e9%ab%98%e7%94%b0%e5%b8%82%e5%90%89%e7%94%b0%e7%94%ba%e7%9b%b8%e5%90%88%e3%80%91/,船山城,無し,不明,相合元綱,広島県安芸高田市吉田町相合,34.673520,132.697508
吉田郡山城,https://gosenzo.net/yamajiro/2022/03/12/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%90%89%e7%94%b0%e9%83%a1%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ae%89%e8%8a%b8%e9%ab%98%e7%94%b0%e5%b8%82%e5%90%89%e7%94%b0%e7%94%ba%e5%90%89%e7%94%b0%e3%80%91/,吉田郡山城,郡山城,建武3年（1336）に毛利時親により築城されたと云われる。,毛利氏,広島県安芸高田市吉田町吉田,34.673693,132.709593
猿掛城,https://gosenzo.net/yamajiro/2022/03/12/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e7%8c%bf%e6%8e%9b%e5%9f%8e%e3%80%90%e5%ae%89%e8%8a%b8%e9%ab%98%e7%94%b0%e5%b8%82%e5%90%89%e7%94%b0%e7%94%ba%e5%a4%9a%e6%b2%bb%e6%af%94%e3%80%91/,猿掛城,多治比城,明応年間(1492〜1501)に毛利弘元によって築かれたと伝わる。,毛利氏,広島県安芸高田市吉田町多治比,34.676761,132.663227
田淵ヶ城・吉常山城,https://gosenzo.net/yamajiro/2022/03/13/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e7%94%b0%e6%b7%b5%e3%83%b6%e5%9f%8e%e3%83%bb%e5%90%89%e5%b8%b8%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ae%89%e8%8a%b8%e9%ab%98%e7%94%b0%e5%b8%82%e5%90%89%e7%94%b0/,田淵ヶ城,右京城,不明,国司氏とも大内氏の陣城とも,広島県安芸高田市吉田町吉田・国司,34.652012,132.706696
田淵ヶ城・吉常山城,https://gosenzo.net/yamajiro/2022/03/13/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e7%94%b0%e6%b7%b5%e3%83%b6%e5%9f%8e%e3%83%bb%e5%90%89%e5%b8%b8%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ae%89%e8%8a%b8%e9%ab%98%e7%94%b0%e5%b8%82%e5%90%89%e7%94%b0/,吉常山城,吉恒,不明,赤川氏もしくは大内氏の陣城,広島県安芸高田市吉田町吉田・国司,34.649594,132.701276
高橋城,https://gosenzo.net/yamajiro/2022/03/13/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e9%ab%98%e6%a9%8b%e5%9f%8e%e3%80%90%e5%ae%89%e8%8a%b8%e9%ab%98%e7%94%b0%e5%b8%82%e7%be%8e%e5%9c%9f%e9%87%8c%e7%94%ba%e7%94%9f%e7%94%b0%e3%80%91/,髙橋城,生田城（いけだじょう）,不明,髙橋氏（生田氏）,広島県安芸高田市美土里町生田,34.772021,132.609317
松尾城,https://gosenzo.net/yamajiro/2022/03/13/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e6%9d%be%e5%b0%be%e5%9f%8e%e3%80%90%e5%ae%89%e8%8a%b8%e9%ab%98%e7%94%b0%e5%b8%82%e7%be%8e%e5%9c%9f%e9%87%8c%e7%94%ba%e6%a8%aa%e7%94%b0%e3%80%91/,松尾城,髙橋城、松尾山城、土肥城、土居城,南北朝時代か,髙橋氏,広島県安芸高田市美土里町横田,34.731611,132.646832
茶臼山城,https://gosenzo.net/yamajiro/2024/03/23/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e8%8c%b6%e8%87%bc%e5%b1%b1%e5%9f%8e%e3%80%90%e5%ae%89%e8%8a%b8%e9%ab%98%e7%94%b0%e5%b8%82%e5%90%91%e5%8e%9f%e7%94%ba%e9%95%b7%e7%94%b0%e3%80%91/,茶臼山城,無し,戦国時代か,武安某？,広島県安芸高田市向原町長田,34.605911,132.689507
古吹城,https://gosenzo.net/yamajiro/2025/05/05/%e3%80%90%e5%ba%83%e5%b3%b6%e7%9c%8c%e3%80%91%e5%8f%a4%e5%90%b9%e5%9f%8e%e3%80%90%e5%ae%89%e8%8a%b8%e9%ab%98%e7%94%b0%e5%b8%82%e5%90%91%e5%8e%9f%e7%94%ba%e6%9c%89%e7%95%99%e3%80%91/,古吹城,古吹ヶ城,南北朝時代,有富氏、志道氏？,広島県安芸高田市向原町有留,34.559962,132.694034
